Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean,distance_to_boundary_m,within_5km_boundary_proxy,within_10km_boundary_proxy,proximity_score,capacity_score,preliminary_exposure_score,screening_category
4948,Low Carbon ,Trowle Common,Solar Photovoltaics,5.0,Operational,Operational,Wiltshire,South West,England,BA14 9B,383857,158625,Wiltshire,01/10/2015,02/02/2016,40300.0,operational,99368.16653300152,False,False,0,1,1,Low
4951,Countryside Renewables,Canopus Farm,Solar Photovoltaics,5.0,Operational,Operational,Lincolnshire,East Midlands,England,PE22 7BD,530597,347613,East Lindsey,26/08/2015,10/12/2015,497781.0,operational,128845.79721550102,False,False,0,1,1,Low
4952,Conergy West Sussex,Land At Guston Court Farm,Solar Photovoltaics,5.0,Operational,Operational,Kent,South East,England,CT15 5EX,632877,144096,Dover,12/11/2015,20/12/2015,4852.0,operational,0.0,True,True,2,1,3,Medium
4954,Lightsource Renewable Energy ,Former Maghaberry Airfield,Solar Photovoltaics,25.7,Operational,Operational,Co. Armagh,Northern Ireland,Northern Ireland,BT67 0JF,129097,520344,Lisburn and Castlereagh,21/09/2017,30/01/2018,5584.0,operational,119463.99420421143,False,False,0,2,2,Medium
4969,Green Power Consultants,Pressock Farm,Solar Photovoltaics,5.0,Operational,Operational,Angus,Scotland,Scotland,DD8 2SN,356893,749462,Angus,15/01/2017,28/03/2017,383000.0,operational,201779.4600001241,False,False,0,1,1,Low
4970,Agri-Gen/Downing,Bentwaters Park (extension),Anaerobic Digestion,1.8,Operational,Operational,Suffolk,Eastern,England,IP12 2TW,635759,253035,East Suffolk,03/12/2015,15/03/2016,8000.0,operational,47253.070448042854,False,False,0,0,0,Low
4975,Intervate Renewable Energy ,Cradley Heath,Advanced Conversion Technologies,1.1,Operational,Operational,West Midlands,West Midlands,England,B64 7BN,394528,285627,Sandwell,,04/10/2014,9000.0,operational,222448.85495654994,False,False,0,0,0,Low
4976,Thames Water Utilities,Beckton Sewage Treatment Works,Wind Onshore,2.2,Operational,Operational,London,London,England,IG11 0AD,544385,182797,Newham,,12/11/2014,76000.0,operational,83132.52036893717,False,False,0,0,0,Low
4983,Anesco ,Rufford Lane,Solar Photovoltaics,2.6,Operational,Operational,Nottinghamshire,East Midlands,England,NG22 0EQ,466439,366123,Newark and Sherwood,17/01/2016,17/06/2016,634000.0,operational,186744.14402919143,False,False,0,0,0,Low
4986,Canadian Solar,Land to the north and south of Cakers Lane (Wilsom),Solar Photovoltaics,11.0,Operational,Operational,Hampshire,South East,England,GU34 3AB,473543,138648,East Hampshire,20/01/2017,20/03/2017,413900.0,operational,63762.1705573786,False,False,0,2,2,Medium
4988,Corolis Energy/ ESB / Ripple Energy,Kirk Hill Wind Farm,Wind Onshore,18.8,Operational,Operational,South Ayrshire,Scotland,Scotland,,226190,604790,South Ayrshire,01/09/2022,01/05/2024,1000000.0,operational,195932.13203450642,False,False,0,2,2,Medium
4990,Cooper Energy Engineering,Collacott Farm,Solar Photovoltaics,4.5,Operational,Operational,Devon,South West,England,EX31 3QT,251139,130383,North Devon,01/12/2015,22/03/2016,250000.0,operational,95175.21938341184,False,False,0,1,1,Low
4994,Capital Estate Tonedale ,Tonedale Farm,Solar Photovoltaics,5.0,Operational,Operational,Somerset,South West,England,TA21 0DW,312488,120781,Somerset,10/09/2015,10/12/2015,140500.0,operational,74817.57955184621,False,False,0,1,1,Low
4995,Seneca Global Energy,Melton Waste Park ,Wind Onshore,5.0,Operational,Operational,Humberside,Yorkshire and Humber,England,HU14 3HH,496867,425532,East Riding of Yorkshire,15/06/2016,01/03/2017,458600.0,operational,143034.90886216474,False,False,0,1,1,Low
4996,Sun Farming,Lindridge Farm,Solar Photovoltaics,5.0,Operational,Operational,Leicestershire,East Midlands,England,LE9 9FD,446680,305219,Hinckley and Bosworth,,21/12/2015,2369.0,operational,220448.04627253948,False,False,0,1,1,Low
4997,Rectory Lane Renewables,Abbots Ripton Solar Farm (ext.),Solar Photovoltaics,3.9,Operational,Operational,Cambridgeshire,Eastern,England,PE28 2PB,523027,276480,Huntingdonshire,01/09/2015,01/12/2015,4800.0,operational,153149.5819466421,False,False,0,1,1,Low
5000,Kingspan Energy,Gilford Road,Solar Photovoltaics,1.3,Operational,Operational,Co. Armagh,Northern Ireland,Northern Ireland,BT63 5LF,113760,510643,"Armagh City, Banbridge and Craigavon",01/12/2014,06/02/2015,,operational,102034.03590947803,False,False,0,0,0,Low
5001,United Utilities,Fleetwood Water Treatment Works,Solar Photovoltaics,1.3,Operational,Operational,Lancashire,North West,England,,333178,446368,Wyre,30/11/2015,15/03/2015,145500.0,operational,294918.61595986696,False,False,0,0,0,Low
5002,Cambridge County Council,Triangle Solar Farm Park,Solar Photovoltaics,12.0,Operational,Operational,Cambridgeshire,Eastern,England,CB7 5HX,558007,272569,East Cambridgeshire,04/11/2016,04/01/2017,87800.0,operational,120109.44832403334,False,False,0,2,2,Medium
5003,REG Bio-Power,Whitemoor,Biomass (dedicated),18.0,Operational,Operational,North Yorkshire,Yorkshire and Humber,England,YO8 6EG,466450,435843,North Yorkshire,,01/10/2014,8600.0,operational,170118.3088970083,False,False,0,2,2,Medium
5006,3C Energy,Land at Lower House Farm,Solar Photovoltaics,8.1,Operational,Operational,Monmouthshire,Wales,Wales,NP15 1JJ,334772,204371,Monmouthshire,01/02/2016,21/03/2016,35000.0,operational,153113.12612524146,False,False,0,1,1,Low
5012,Aldi,Aldi Distribution Centre,Solar Photovoltaics,1.3,Operational,Operational,West Lothian,Scotland,Scotland,EH48 2FB,296982,666291,West Lothian,,22/10/2015,205000.0,operational,250800.47347993127,False,False,0,0,0,Low
5014,Sovereign Partners,Bromfield Sand and Gravel,Solar Photovoltaics,0.5,Operational,Operational,Shropshire,West Midlands,England,SY8 2JT,348216,277082,Shropshire,20/07/2015,25/08/2017,103100.0,operational,222274.90500925996,False,False,0,0,0,Low
5015,Sovereign Partners,Land at Heywood Grange,Solar Photovoltaics,8.4,Operational,Operational,Staffordshire,West Midlands,England,ST10 2PL,396046,344411,Staffordshire Moorlands,,19/10/2016,20500.0,operational,260283.25920511922,False,False,0,1,1,Low
5017,NESF (formerly Tau Solar),Ravens Close,Solar Photovoltaics,5.0,Operational,Operational,North Yorkshire,Yorkshire and Humber,England,LA2 7EU,364025,470692,North Yorkshire,24/10/2016,14/03/2017,1000.0,operational,261287.3374017711,False,False,0,1,1,Low
5018,NESF (formerly Earthworm/Waltham Solar),Forest Farm,Solar Photovoltaics,3.0,Operational,Operational,Hampshire,South East,England,SO32 2LL,456113,116238,Winchester,01/02/2017,01/03/2017,1650.0,operational,44808.571997679996,False,False,0,0,0,Low
5019,Navitas Project,Land West of Roberts Wall Far,Solar Photovoltaics,2.5,Operational,Operational,Pembrokeshire,Wales,Wales,SA70 8NF,210186,200504,Pembrokeshire,01/02/2016,23/03/2016,1280.0,operational,108398.72556136781,False,False,0,0,0,Low
5020,Anesco,Drayton Manor Farm,Solar Photovoltaics,25.0,Operational,Operational,Warwickshire,West Midlands,England,CV37 9RG,415469,255805,Stratford-on-Avon,15/12/2015,23/03/2016,1920.0,operational,189378.50627835773,False,False,0,2,2,Medium
