Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean
6042,Innogy (previously BELECTRIC Solar),Rolls Royce Filton Campus Building 184,Solar Photovoltaics,1.40,Operational,Operational,Avon,South West,England,BS34 6QA,360460,180792,South Gloucestershire,25/05/2016,15/08/2016,,operational
6043,Innogy (previously BELECTRIC Solar),Rolls Royce Filton Campus Building 185,Solar Photovoltaics,1.80,Operational,Operational,Avon,South West,England,BS34 6QA,360460,180792,South Gloucestershire,25/05/2016,15/08/2016,,operational
6054,Thames Water Utilities,Basingstoke Sewage Treatment Works,Anaerobic Digestion,1.20,Operational,Operational,Hampshire,South East,England,RG24 8LL,467434,155168,Basingstoke and Deane,16/02/2016,16/02/2017,,operational
6055,Larimin,ParkerSteel Shoreham Plant,Solar Photovoltaics,1.80,Operational,Operational,West Sussex,South East,England,BN41 1WF,525794,104689,Brighton and Hove,,02/09/2015,,operational
6061,Northern Energy Developments ,Acharn Forest Killin Biomass Plant,Biomass (dedicated),5.60,Operational,Operational,Stirling,Scotland,Scotland,FK21 8RA,256236,731409,Stirling,15/01/2017,15/07/2017,,operational
6062,Farm Power Apollo,Bourne Farm,Solar Photovoltaics,2.40,Operational,Operational,Dorset,South West,England,,372234,97408,Dorset,30/11/2014,15/03/2015,,operational
6063,Lightsource Renewable Energy,Londons Queen Elizabeth II reservoir,Solar Photovoltaics,6.30,Operational,Operational,Surrey,South East,England ,KT12 2YE,517717,166986,Kingston upon Thames,15/02/2016,23/03/2016,,operational
6069,Public Power Solutions ,Barnfield Solar Park,Solar Photovoltaics,2.50,Operational,Operational,Wiltshire,South West,England,SN2 2YW,413014,186119,Swindon,07/02/2017,10/12/2018,,operational
6079,Infinite Renewables,West of Rhiwfelin Fach Farm,Wind Onshore,1.50,Operational,Operational,Mid Glamorgan,Wales,Wales,CF72 8LQ,303640,185362,Rhondda Cynon Taf,01/06/2018,31/08/2018,,operational
6087,Solar 21,Hull Biomass Plant (Tansterne power station),Biomass (dedicated),22.00,Operational,Operational,Humberside,Yorkshire and Humber,England,HU11 4 RD,522119,437456,East Riding of Yorkshire,10/08/2016,15/02/2018,,operational
6089,SIMEC Group,Uskmouth Power Station ,Biomass (co-firing),18.00,Operational,Operational,Gwent,Wales,Wales,NP18 2 BZ,334280,183720,Newport,01/01/2015,01/03/2015,,operational
6091,GIB and Equitix ,Pulteney Distillery ,Biomass (dedicated),3.50,Operational,Operational,Highland,Scotland,Scotland,KW1 5BA,336714,950114,Highland,25/04/2011,01/01/2012,,operational
6093,Wessex Water,Trowbridge Sewage Treatment Works,Sewage Sludge Digestion,1.20,Operational,Operational,Wiltshire,South West,England,BA14 9AX,384894,158775,Wiltshire,19/10/2015,19/04/2016,,operational
6102,Grangemouth Generation Ltd,Avondale Quarry (Pilot),Advanced Conversion Technologies,2.00,Operational,Operational,Falkirk,Scotland,Scotland,FK2 0YG,295367,678750,Falkirk,01/04/2016,01/04/2017,,operational
6106,Green Cat Renewables ,Marshill Farm,Wind Onshore,1.50,Operational,Operational,South Lanarkshire,Scotland,Scotland,ML11 9PW,278551,645431,South Lanarkshire,01/12/2014,01/08/2015,,operational
6108,North Tenement Solar Limited,Popehill Farm,Solar Photovoltaics,5.00,Operational,Operational,Pembrokeshire,Wales,Wales,SA62 3NX,193972,212565,Pembrokeshire,29/01/2017,29/03/2017,,operational
6114,Sainsburys Supermarkets Limited,Waltham Point Distribution Centre,Solar Photovoltaics,1.80,Operational,Operational,Essex,Eastern,England,EN9 3BZ,537765,199723,Epping Forest,05/01/2016,05/02/2016,,operational
6120,AW Group,Checkley Wood Farm,Wind Onshore,4.10,Operational,Operational,Bedfordshire,Eastern,England,LU7 9LG,494144,229371,Central Bedfordshire,01/05/2023,20/01/2024,,operational
6123,Yorkshire Water,Knostrop Sewage Treatment Works,Anaerobic Digestion,4.00,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,LS9 0PJ,433623,431801,Leeds,01/10/2016,03/12/2018,,operational
6129,Envantage Renewables,Knottingley B,Solar Photovoltaics,2.40,Operational,Operational,West Yorkshire,Yorkshire and Humber,England,WF11 0BZ,450120,423193,Wakefield,15/03/2016,29/03/2016,,operational
6132,London Borough of Hounslow,Western International Market,Solar Photovoltaics,1.70,Operational,Operational,London,London,England,UB2 5XU,510606,178655,Hounslow,19/04/2016,19/05/2016,,operational
